Name,Location,State,Country,Population (k),GDP/head ($k),Fuel Premium ($/L),Labour Cost Factor
Torres Strait,"-10.6048, 142.26968",QLD,Australia,,,,
Weipa,"-12.64939, 141.8648",QLD,Australia,,,,
Cairns,"-16.92056, 145.76971",QLD,Australia,,,,
Townsville,"-19.27244, 146.80318",QLD,Australia,,,,
Normanton,"-17.72471, 141.04319",QLD,Australia,,,,
Mount Isa,"-20.72419, 139.49018",QLD,Australia,,,,
Hughenden,"-20.84491, 144.19916",QLD,Australia,,,,
Mackay,"-21.148, 149.17145",QLD,Australia,,,,
Rockhampton,"-23.37134, 150.50896",QLD,Australia,,,,
Bundaberg,"-24.86068, 152.33974",QLD,Australia,,,,
Sunshine Coast,"-26.65177, 153.06594",QLD,Australia,,,,
Brisbane,"-27.48045, 153.03576",QLD,Australia,,,,
Gold Coast,"-28.03589, 153.39561",QLD,Australia,,,,
Toowoomba,"-27.5611, 151.95189",QLD,Australia,,,,
Roma,"-26.57862, 148.7916",QLD,Australia,,,,
Emerald,"-23.52819, 148.14838",QLD,Australia,,,,
Longreach,"-23.44275, 144.24724",QLD,Australia,,,,
Charleville,"-26.40186, 146.24057",QLD,Australia,,,,
Gove,"-12.18577, 136.7863",NT,Australia,,,,
Darwin,"-12.41442, 130.88195",NT,Australia,,,,
Katherine,"-14.45886, 132.26147",NT,Australia,,,,
Tennant Creek,"-19.64405, 134.1926",NT,Australia,,,,
Alice Springs,"-23.70175, 133.87432",NT,Australia,,,,
Uluru,"-25.24237, 130.9821",NT,Australia,,,,
Kununurra,"-15.78054, 128.74347",WA,Australia,,,,
Halls Creek,"-18.22202, 127.66895",WA,Australia,,,,
Fitzroy Crossing,"-18.19854, 125.56892",WA,Australia,,,,
Broome,"-17.94899, 122.23058",WA,Australia,,,,
Port Hedland,"-20.35756, 118.62205",WA,Australia,,,,
Karratha,"-20.73749, 116.84397",WA,Australia,,,,
Newman,"-23.3532, 119.74944",WA,Australia,,,,
Carnarvon,"-24.86218, 113.70157",WA,Australia,,,,
Meekatharra,"-26.59449, 118.4952",WA,Australia,,,,
Exmouth,"-21.933, 114.12318",WA,Australia,,,,
Geraldton,"-28.78623, 114.62314",WA,Australia,,,,
Perth,"-31.9534, 115.84918",WA,Australia,,,,
Bunbury,"-33.33882, 115.65936",WA,Australia,,,,
Albany,"-35.00599, 117.86468",WA,Australia,,,,
Esperance,"-33.85183, 121.89234",WA,Australia,,,,
Kalgoorie,"-30.75918, 121.48461",WA,Australia,,,,
Ceduna,"-32.12485, 133.67798",SA,Australia,,,,
Port Lincoln,"-34.72695, 135.85224",SA,Australia,,,,
Port Augusta,"-32.49521, 137.77199",SA,Australia,,,,
Roxby Downs,"-30.55055, 136.8996",SA,Australia,,,,
Coober Pedy,"-29.01923, 134.75279",SA,Australia,,,,
Kingscote (Kangaroo Island),"-35.63845, 137.59557",SA,Australia,,,,
Adelaide,"-34.90915, 138.59451",SA,Australia,,,,
Mount Gambier,"-37.8318, 140.77133",SA,Australia,,,,
Mildura,"-34.20578, 142.13774",VIC,Australia,,,,
Horsham,"-36.721, 142.19905",VIC,Australia,,,,
Warrnambool,"-38.38015, 142.48425",VIC,Australia,,,,
Ballarat,"-37.56115, 143.85454",VIC,Australia,,,,
Bendigo,"-36.75605, 144.27998",VIC,Australia,,,,
Melbourne,"-37.80973, 144.9628",VIC,Australia,,,,
Shepparton,"-36.37982, 145.3989",VIC,Australia,,,,
Morwell,"-38.22952, 146.45597",VIC,Australia,,,,
Bairnsdale,"-37.81674, 147.62454",VIC,Australia,,,,
King Island,"-39.9144, 143.85399",TAS,Australia,,,,
Flinders Island,"-40.0577, 147.95531",TAS,Australia,,,,
Launceston,"-41.43909, 147.13654",TAS,Australia,,,,
Hobart,"-42.88507, 147.32989",TAS,Australia,,,,
Broken Hill,"-31.9579, 141.46671",NSW,Australia,,,,
Griffith,"-34.28775, 146.03118",NSW,Australia,,,,
Albury-Wodonga,"-36.08377, 146.92303",NSW,Australia,,,,
Wagga Wagga,"-35.11876, 147.36766",NSW,Australia,,,,
Cobar,"-31.49748, 145.83604",NSW,Australia,,,,
Dubbo,"-32.24472, 148.61188",NSW,Australia,,,,
Narrabri,"-30.32385, 149.78495",NSW,Australia,,,,
Armidale,"-30.51169, 151.64854",NSW,Australia,,,,
Tamworth,"-31.09242, 150.92212",NSW,Australia,,,,
Ballina,"-28.85974, 153.55221",NSW,Australia,,,,
Coffs Harbour,"-30.29559, 153.11329",NSW,Australia,,,,
Port Macquarie,"-31.44359, 152.9067",NSW,Australia,,,,
Newcastle,"-32.91482, 151.72498",NSW,Australia,,,,
Sydney,"-33.82032, 151.0027",NSW,Australia,,,,
Wollongong,"-34.48577, 150.86512",NSW,Australia,,,,
Bega,"-36.67998, 149.8389",NSW,Australia,,,,
Goulburn,"-34.74837, 149.72399",NSW,Australia,,,,
Bathurst,"-33.41792, 149.58213",NSW,Australia,,,,
Parkes,"-33.12531, 148.12818",NSW,Australia,,,,
Canberra,"-35.31757, 149.12125",ACT,Australia,,,,
Norfolk Island,"-29.03293, 167.94932",,Australia,,,,
Lord Howe Island,"-31.53886, 159.07727",,Australia,,,,
Christmas Island,"-10.48624, 105.62991",,Australia,,,,
Cocos (Keeling) Island,"-12.14973, 96.82202",,Australia,,,,
