,Name,Location,State,Country,Population (k),GDP/head ($k),Fuel Premium ($/L),Labour Cost Factor,Population from Regions,GDP from Regions,GDP per Head,GDP per Head Export,Population Export
0,Torres Strait,"-10.6048, 142.26968",QLD,Australia,,,,,10694.0,502603.01999999996,46.99859921451281,47.0,10.7
1,Weipa,"-12.64939, 141.8648",QLD,Australia,,,,,11465.5,722134.9600000001,62.98329423051765,63.0,11.5
2,Cairns,"-16.92056, 145.76971",QLD,Australia,,,,,259029.5,14767181.409999996,57.00965106290981,57.0,259.0
3,Townsville,"-19.27244, 146.80318",QLD,Australia,,,,,253572.4,15855391.668,62.52806562543873,63.0,253.6
4,Normanton,"-17.72471, 141.04319",QLD,Australia,,,,,5666.0,245467.27999999997,43.32285210024708,43.0,5.7
5,Mount Isa,"-20.72419, 139.49018",QLD,Australia,,,,,24426.0,2065042.77,84.54281380496192,85.0,24.4
6,Hughenden,"-20.84491, 144.19916",QLD,Australia,,,,,4924.200000000001,274753.774,55.79663173713495,56.0,4.9
7,Mackay,"-21.148, 149.17145",QLD,Australia,,,,,170991.4,11677757.017999997,68.29441140314658,68.0,171.0
8,Rockhampton,"-23.37134, 150.50896",QLD,Australia,,,,,198678.4,11949336.126,60.144112928229745,60.0,198.7
9,Bundaberg,"-24.86068, 152.33974",QLD,Australia,,,,,227371.0,9842636.13,43.288880859916176,43.0,227.4
10,Sunshine Coast,"-26.65177, 153.06594",QLD,Australia,,,,,491595.1,27981519.255,56.91984980118801,57.0,491.6
11,Brisbane,"-27.48045, 153.03576",QLD,Australia,,,,,2581672.7,177994918.91499996,68.94557893221706,69.0,2581.7
12,Gold Coast,"-28.03589, 153.39561",QLD,Australia,,,,,767213.5,46979277.295,61.23364264966662,61.0,767.2
13,Toowoomba,"-27.5611, 151.95189",QLD,Australia,,,,,314250.9,16850739.908999998,53.6219304670249,54.0,314.3
14,Roma,"-26.57862, 148.7916",QLD,Australia,,,,,39263.4,2292662.16,58.391839728602214,58.0,39.3
15,Emerald,"-23.52819, 148.14838",QLD,Australia,,,,,40962.0,3335042.4899999998,81.41796030467262,81.0,41.0
16,Longreach,"-23.44275, 144.24724",QLD,Australia,,,,,9002.0,553374.91,61.4724405687625,61.0,9.0
17,Charleville,"-26.40186, 146.24057",QLD,Australia,,,,,7687.0,395916.64,51.50470144399636,52.0,7.7
18,Gove,"-12.18577, 136.7863",NT,Australia,,,,,17371.0,536665.6699999999,30.89434517298946,31.0,17.4
19,Darwin,"-12.41442, 130.88195",NT,Australia,,,,,163322.8,13247702.394000003,81.11361300443052,81.0,163.3
20,Katherine,"-14.45886, 132.26147",NT,Australia,,,,,19944.5,1147597.4249999998,57.53954348316577,58.0,19.9
21,Tennant Creek,"-19.64405, 134.1926",NT,Australia,,,,,7214.0,358247.24,49.66,50.0,7.2
22,Alice Springs,"-23.70175, 133.87432",NT,Australia,,,,,36939.4,2658614.48,71.97232440158746,72.0,36.9
23,Uluru,"-25.24237, 130.9821",NT,Australia,,,,,7870.8,298297.696,37.899285460181936,38.0,7.9
24,Kununurra,"-15.78054, 128.74347",WA,Australia,,,,,9688.5,662377.205,68.36736388501832,68.0,9.7
25,Halls Creek,"-18.22202, 127.66895",WA,Australia,,,,,4110.0,130122.6,31.66,32.0,4.1
26,Fitzroy Crossing,"-18.19854, 125.56892",WA,Australia,,,,,4202.5,197433.44999999998,46.98,47.0,4.2
27,Broome,"-17.94899, 122.23058",WA,Australia,,,,,22555.5,1677602.9000000001,74.37666644499124,74.0,22.6
28,Port Hedland,"-20.35756, 118.62205",WA,Australia,,,,,19075.8,2131077.2,111.7162687803395,112.0,19.1
29,Karratha,"-20.73749, 116.84397",WA,Australia,,,,,25353.8,2923330.19,115.30146131940775,115.0,25.4
30,Newman,"-23.3532, 119.74944",WA,Australia,,,,,12943.6,1396265.54,107.87304459346704,108.0,12.9
31,Carnarvon,"-24.86218, 113.70157",WA,Australia,,,,,6246.5,359419.83,57.53939486112223,58.0,6.2
32,Meekatharra,"-26.59449, 118.4952",WA,Australia,,,,,2915.0,137184.09,47.06143739279588,47.0,2.9
33,Exmouth,"-21.933, 114.12318",WA,Australia,,,,,4878.8,422486.06,86.5963064688038,87.0,4.9
34,Geraldton,"-28.78623, 114.62314",WA,Australia,,,,,55272.5,3241379.47,58.643619702383646,59.0,55.3
35,Perth,"-31.9534, 115.84918",WA,Australia,,,,,2299135.0,161428350.70999995,70.21264549928559,70.0,2299.1
36,Bunbury,"-33.33882, 115.65936",WA,Australia,,,,,199858.0,11692298.41,58.50302920073252,59.0,199.9
37,Albany,"-35.00599, 117.86468",WA,Australia,,,,,66393.0,3527436.7400000007,53.12964830629736,53.0,66.4
38,Esperance,"-33.85183, 121.89234",WA,Australia,,,,,17391.0,1058488.43,60.86414984762233,61.0,17.4
39,Kalgoorie,"-30.75918, 121.48461",WA,Australia,,,,,39283.0,3416280.79,86.96588320647608,87.0,39.3
40,Ceduna,"-32.12485, 133.67798",SA,Australia,,,,,6614.8,343549.768,51.93653141440406,52.0,6.6
41,Port Lincoln,"-34.72695, 135.85224",SA,Australia,,,,,28570.5,1494330.66,52.30327295637108,52.0,28.6
42,Port Augusta,"-32.49521, 137.77199",SA,Australia,,,,,72122.6,3419719.3510000003,47.41536426862038,47.0,72.1
43,Roxby Downs,"-30.55055, 136.8996",SA,Australia,,,,,4706.8,521254.608,110.74500892325996,111.0,4.7
44,Coober Pedy,"-29.01923, 134.75279",SA,Australia,,,,,2178.8,83360.528,38.259834771433816,38.0,2.2
45,Kingscote (Kangaroo Island),"-35.63845, 137.59557",SA,Australia,,,,,5088.0,242748.48,47.71,48.0,5.1
46,Adelaide,"-34.90915, 138.59451",SA,Australia,,,,,1620508.5,95817920.48500001,59.12830477902462,59.0,1620.5
47,Mount Gambier,"-37.8318, 140.77133",SA,Australia,,,,,88818.0,4623398.5600000005,52.054747461100234,52.0,88.8
48,Mildura,"-34.20578, 142.13774",VIC,Australia,,,,,103396.79999999999,5405758.648,52.28168229577705,52.0,103.4
49,Horsham,"-36.721, 142.19905",VIC,Australia,,,,,57496.3,2920480.6040000003,50.794235524720726,51.0,57.5
50,Warrnambool,"-38.38015, 142.48425",VIC,Australia,,,,,101757.3,5562165.267999999,54.66109328765601,55.0,101.8
51,Ballarat,"-37.56115, 143.85454",VIC,Australia,,,,,215446.6,12405076.156000001,57.57842619006288,58.0,215.4
52,Bendigo,"-36.75605, 144.27998",VIC,Australia,,,,,225712.1,12438870.659000002,55.10945429598148,55.0,225.7
53,Melbourne,"-37.80973, 144.9628",VIC,Australia,,,,,5364596.0,375479711.502,69.99216930818275,70.0,5364.6
54,Shepparton,"-36.37982, 145.3989",VIC,Australia,,,,,180230.4,9292462.803000001,51.5587980884468,52.0,180.2
55,Morwell,"-38.22952, 146.45597",VIC,Australia,,,,,221158.9,11523349.061999999,52.10438766877571,52.0,221.2
