Name Raw,Name,Population,Weekly Household Equivalised Income,Product,Multiple of Average,GDP/head,Airports,States,Countries,Fractions
40070: Adelaide,Adelaide,26141,1129,29513189,1.03,68.88,Adelaide,SA,Australia,1
40120: Adelaide Hills,Adelaide Hills,41411,1195,49486145,1.09,72.90,Adelaide,SA,Australia,1
40150: Adelaide Plains,Adelaide Plains,10456,976,10205056,0.89,59.54,Adelaide,SA,Australia,1
50080: Albany,Albany,40416,879,35525664,0.80,53.63,Albany,WA,Australia,1
10050: Albury,Albury,56666,947,53662702,0.86,57.77,Albury-Wodonga,NSW,Australia,1
40220: Alexandrina,Alexandrina,29754,758,22553532,0.69,46.24,Adelaide,SA,Australia,1
70200: Alice Springs,Alice Springs,28855,1385,39964175,1.26,84.50,Alice Springs,NT,Australia,1
20110: Alpine,Alpine,13187,887,11696869,0.81,54.11,Albury-Wodonga,NSW,Australia,1
40250: Anangu Pitjantjatjara Yunkunytjatjara,Anangu Pitjantjatjara Yunkunytjatjara,2598,484,1257432,0.44,29.53,Uluru,NT,Australia,1
20260: Ararat,Ararat,11754,832,9779328,0.76,50.76,"Ballarat,Horsham,Warrnambool",VIC,Australia,"0.4,0.4,0.2"
50210: Armadale,Armadale,100768,1040,104798720,0.95,63.45,Perth,WA,Australia,1
10180: Armidale Regional,Armidale Regional,29360,924,27128640,0.84,56.37,Armidale,NSW,Australia,1
50250: Ashburton,Ashburton,7834,1858,14555572,1.69,113.35,"Newman,Karratha,Exmouth",WA,Australia,"0.6,0.2,0.2"
50280: Augusta Margaret River,Augusta Margaret River,17901,968,17328168,0.88,59.06,Bunbury,WA,Australia,1
30250: Aurukun,Aurukun,1124,468,526032,0.43,28.55,Weipa,QLD,Australia,1
20570: Ballarat,Ballarat,115951,935,108414185,0.85,57.04,Ballarat,VIC,Australia,1
10250: Ballina,Ballina,46850,926,43383100,0.84,56.49,Ballina,NSW,Australia,1
30300: Balonne,Balonne,4353,911,3965583,0.83,55.58,Roma,QLD,Australia,1
10300: Balranald,Balranald,2210,892,1971320,0.81,54.42,Mildura,VIC,Australia,1
30370: Banana,Banana,14779,1080,15961320,0.98,65.89,"Rockhampton,Roma",QLD,Australia,"0.6,0.4"
20660: Banyule,Banyule,127348,1239,157784172,1.13,75.59,Melbourne,VIC,Australia,1
30410: Barcaldine,Barcaldine,2865,973,2787645,0.89,59.36,Longreach,QLD,Australia,1
30450: Barcoo,Barcoo,315,1258,396270,1.15,76.75,Longreach,QLD,Australia,1
70420: Barkly,Barkly,7214,814,5872196,0.74,49.66,Tennant Creek,NT,Australia,1
40310: Barossa,Barossa,25869,950,24575550,0.87,57.96,Adelaide,SA,Australia,1
40430: Barunga West,Barunga West,2673,665,1777545,0.61,40.57,"Adelaide,Port Augusta",SA,Australia,"0.5,0.5"
20740: Bass Coast,Bass Coast,41798,776,32435248,0.71,47.34,"Melbourne,Morwell",VIC,Australia,"0.5,0.5"
50350: Bassendean,Bassendean,16600,1114,18492400,1.01,67.96,Perth,WA,Australia,1
10470: Bathurst Regional,Bathurst Regional,44112,1009,44509008,0.92,61.56,Bathurst,NSW,Australia,1
20830: Baw Baw,Baw Baw,59248,932,55219136,0.85,56.86,Morwell,VIC,Australia,1
10500: Bayside (NSW),Bayside (NSW),177945,1187,211220715,1.08,72.42,Sydney,NSW,Australia,1
20910: Bayside (Vic.),Bayside (Vic.),102177,1597,163176669,1.45,97.43,Melbourne,VIC,Australia,1
50420: Bayswater,Bayswater,72165,1130,81546450,1.03,68.94,Perth,WA,Australia,1
10550: Bega Valley,Bega Valley,35988,794,28574472,0.72,48.44,Bega,NSW,Australia,1
10600: Bellingen,Bellingen,13262,774,10264788,0.70,47.22,Coffs Harbour,NSW,Australia,1
50490: Belmont,Belmont,44303,1113,49309239,1.01,67.90,Perth,WA,Australia,1
70540: Belyuen,Belyuen,165,372,61380,0.34,22.69,Darwin,NT,Australia,1
21010: Benalla,Benalla,14457,796,11507772,0.72,48.56,Shepparton,VIC,Australia,1
40520: Berri Barmera,Berri Barmera,10713,773,8281149,0.70,47.16,Adelaide,SA,Australia,1
10650: Berrigan,Berrigan,8653,755,6533015,0.69,46.06,Shepparton,VIC,Australia,1
50560: Beverley,Beverley,1738,722,1254836,0.66,44.05,Perth,WA,Australia,1
30760: Blackall Tambo,Blackall Tambo,1934,817,1580078,0.74,49.84,"Longreach,Charleville",QLD,Australia,"0.5,0.5"
10750: Blacktown,Blacktown,410897,1112,456917464,1.01,67.84,Sydney,NSW,Australia,1
10800: Bland,Bland,5494,876,4812744,0.80,53.44,Griffith,NSW,Australia,1
10850: Blayney,Blayney,7591,964,7317724,0.88,58.81,Bathurst,NSW,Australia,1
10900: Blue Mountains,Blue Mountains,77913,1086,84613518,0.99,66.25,Sydney,NSW,Australia,1
50630: Boddington,Boddington,1757,1065,1871205,0.97,64.97,Perth,NSW,Australia,1
10950: Bogan,Bogan,2454,941,2309214,0.86,57.41,Cobar,NSW,Australia,1
21110: Boroondara,Boroondara,169500,1570,266115000,1.43,95.78,Melbourne,VIC,Australia,1
30900: Boulia,Boulia,474,1095,519030,1.00,66.80,Mount Isa,QLD,Australia,1
11150: Bourke,Bourke,2348,1034,2427832,0.94,63.08,Cobar,NSW,Australia,1
50770: Boyup Brook,Boyup Brook,1938,831,1610478,0.76,50.70,Perth,WA,Australia,1
60210: Break O'Day,Break O'Day,7009,587,4114283,0.53,35.81,Launceston,TAS,Australia,1
11200: Brewarrina,Brewarrina,1431,635,908685,0.58,38.74,Cobar,NSW,Australia,1
